statename,state,state abbreviation,states,lat,lon
ALABAMA,Alabama,AL,Ala.,32.377716,-86.300568
ALASKA,Alaska,AK,Alaska,58.301598,-134.420212
ARIZONA,Arizona,AZ,Ariz.,33.448143,-112.096962
ARKANSAS,Arkansas,AR,Ark.,34.746613,-92.288986
CALIFORNIA,California,CA,Calif.,38.576668,-121.493629
COLORADO,Colorado,CO,Colo.,39.739227,-104.984856
CONNECTICUT,Connecticut,CT,Conn.,41.764046,-72.682198
DELAWARE,Delaware,DE,Del.,39.157307,-75.519722
FLORIDA,Florida*,FL,Fla.,30.438118,-84.281296
GEORGIA,Georgia,GA,Ga.,33.749027,-84.388229
HAWAII,Hawaii,HI,Hawaii,21.307442,-157.857376
IDAHO,Idaho,ID,Idaho,43.617775,-116.199722
ILLINOIS,Illinois,IL,Ill.,39.798363,-89.654961
INDIANA,Indiana,IN,Ind.,39.768623,-86.162643
IOWA,Iowa,IA,Iowa,41.591087,-93.603729
KANSAS,Kansas,KS,Kan.,39.048191,-95.677956
KENTUCKY,Kentucky,KY,Ky.,38.186722,-84.875374
LOUISIANA,Louisiana,LA,La.,30.457069,-91.187393
MAINE,Maine,ME,Maine,44.307167,-69.781693
MARYLAND,Maryland,MD,Md.,38.978764,-76.490936
MASSACHUSETTS,Massachusetts,MA,Mass.,42.358162,-71.063698
MICHIGAN,Michigan,MI,Mich.,42.733635,-84.555328
MINNESOTA,Minnesota,MN,Minn.,44.955097,-93.102211
MISSISSIPPI,Mississippi,MS,Miss.,32.303848,-90.182106
MISSOURI,Missouri***,MO,Mo.,38.579201,-92.172935
MONTANA,Montana,MT,Mont.,46.585709,-112.018417
NEBRASKA,Nebraska,NE,Neb.,40.808075,-96.699654
NEVADA,Nevada,NV,Nev.,39.163914,-119.766121
NEW HAMPSHIRE,New Hampshire,NH,N.H.,43.206898,-71.537994
NEW JERSEY,New Jersey,NJ,N.J.,40.220596,-74.769913
NEW MEXICO,New Mexico,NM,N.M.,35.68224,-105.939728
NEW YORK,New York,NY,N.Y.,42.652843,-73.757874
NORTH CAROLINA,North Carolina,NC,N.C.,35.78043,-78.639099
NORTH DAKOTA,North Dakota**,ND,N.D.,46.82085,-100.783318
OHIO,Ohio,OH,Ohio,39.961346,-82.999069
OKLAHOMA,Oklahoma,OK,Okla.,35.492207,-97.503342
OREGON,Oregon,OR,Ore.,44.938461,-123.030403
PENNSYLVANIA,Pennsylvania,PA,Pa.,40.264378,-76.883598
RHODE ISLAND,Rhode Island,RI,R.I.,41.830914,-71.414963
SOUTH CAROLINA,South Carolina,SC,S.C.,34.000343,-81.033211
SOUTH DAKOTA,South Dakota,SD,S.D.,44.367031,-100.346405
TENNESSEE,Tennessee,TN,Tenn.,36.16581,-86.784241
TEXAS,Texas,TX,Texas,30.27467,-97.740349
UTAH,Utah,UT,Utah,40.777477,-111.888237
VERMONT,Vermont,VT,Vt.,44.262436,-72.580536
VIRGINIA,Virginia,VA,Va.,37.538857,-77.43364
WASHINGTON,Washington,WA,Wash.,47.035805,-122.905014
WEST VIRGINIA,West Virginia,WV,W.Va.,38.336246,-81.612328
WISCONSIN,Wisconsin,WI,Wis.,43.074684,-89.384445
WYOMING,Wyoming,WY,Wyo.,41.140259,-104.820236
