,state,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,397405,3558849,0.111666721,178,673,0.26448737,,0,,0,,,,,,,,,,,,,,,,44.79057888,15.65740212
1,Alaska,70458,500570,0.140755539,34,143,0.237762238,34,1,0,0,2,,,9,,,5,,,4,,,10,,4,48.25569843,25.34223644
2,Arizona,532634,4843073,0.10997852,228,1060,0.21509434,,0,,0,,,,,,,,,,,,,,,,42.80612954,19.30197829
3,Arkansas,244016,2173244,0.112281916,89,422,0.210900474,87,0.97752809,2,0.02247191,,,10,,,,,,29,,,,16,,34,36.47301816,17.26079033
4,California,1963556,27365341,0.071753391,723,3823,0.189118493,705,0.975103734,18,0.024896266,24,,,,,98,,,,,,268,,,333,36.82095138,12.20386678
5,Colorado,395350,3762991,0.105062701,211,941,0.224229543,202,0.957345972,9,0.042654028,7,,,19,,,32,,,38,,,40,,75,53.37043126,21.67689489
6,Connecticut,222632,2703644,0.082345161,31,316,0.098101266,,0,,0,,,,,,,,,,,,,,,,13.92432355,11.48724795
7,Delaware,77232,673811,0.114619678,17,107,0.158878505,17,1,0,0,0,,,3,,,1,,,2,,,5,,6,22.01160141,15.08601543
8,Florida*,1591864,14412206,0.110452487,658,2858,0.230230931,,0,,0,,,,,,,,,,,,,,,,41.33518944,17.16022864
9,Georgia,693809,7166761,0.096809284,244,1134,0.215167549,,0,,0,9,,,25,,,27,,,41,,,56,,86,35.16818029,13.74952263
10,Hawaii,106310,958760,0.110882807,25,175,0.142857143,,0,,0,,,,,,,,,,,,,,,,23.51613207,17.59633996
11,Idaho,122552,1121706,0.10925501,66,304,0.217105263,60,0.909090909,6,0.090909091,1,,,5,,,,,25,,,,13,,22,53.85469025,23.82015185
12,Illinois,772410,9716887,0.079491508,199,1177,0.169073917,,0,,0,9,,,8,,,21,,,35,,,41,,85,25.76351937,10.93412169
13,Indiana,471717,4830620,0.09765144,150,828,0.18115942,148,0.986666667,2,0.013333333,,9,,,12,,,23,,,37,,,67,,31.79872678,15.55437228
14,Iowa,234659,2296177,0.102195519,71,361,0.1966759,,0,,0,,,,,,,,,,,,,,,,30.25667032,14.0673038
15,Kansas,218993,2099260,0.104319141,93,382,0.243455497,90,0.967741935,3,0.032258065,4,,,15,,,17,,,8,,,15,,34,42.46711082,15.37015754
