StationID,Facility,Address,state abbreviation,Phone
521,Birmingham VA Medical Center,"700 S. 19th Street   Birmingham, AL 35233",AL,205-933-8101  
463,Alaska VA Healthcare System,"1201 North Muldoon Road   Anchorage, AK 99504",AK,907-257-4700 Or 907-257-4700  
619A4,Central Alabama Veterans Health Care System East Campus,"2400 Hospital Road   Tuskegee, AL 36083-5001",AL,334-727-0550 Or 334-727-0550  
619,Central Alabama Veterans Health Care System West Campus,"215 Perry Hill Road   Montgomery, AL 36109-3798",AL,334-272-4670 Or 334-272-4670  
679,Tuscaloosa VA Medical Center,"3701 Loop Road, East   Tuscaloosa, AL 35404",AL,205-554-2000 Or 205-554-2000  
598,Central Arkansas Veterans Healthcare System Eugene J. Towbin Healthcare Center,"2200 Fort Roots Drive   North Little Rock, AR 72114-1706",AR,501-257-1000  
598,Central Arkansas Veterans Healthcare System John L. McClellan Memorial Veterans Hospital,"4300 West 7th Street   Little Rock, AR 72205-5484",AR,501-257-1000  
564,Veterans Health Care System of the Ozarks,"1100 N. College Avenue   Fayetteville, AR 72703",AR,479-443-4301 Or 479-443-4301  
649,Northern Arizona VA Health Care System,"500 North Highway 89   Prescott, AZ 86313",AZ,928-445-4860 Or 928-445-4860  
644,Phoenix VA Health Care System,"650 E. Indian School Road   Phoenix, AZ 85012",AZ,602-277-5551 Or 602-277-5551  
678,Southern Arizona VA Health Care System,"3601 South 6th Avenue   Tucson, AZ 85723",AZ,520-792-1450 Or 520-792-1450  
570,Central California VA Health Care System,"2615 E. Clinton Avenue   Fresno, CA 93703",CA,559-225-6100 Or 559-225-6100  
640,Livermore,"4951 Arroyo Road   Livermore, CA 94550",CA,925-373-4700  
640,Menlo Park,"795 Willow Road   Menlo Park, CA 94025",CA,650-614-9997  
662,San Francisco VA Health Care System,"4150 Clement Street   San Francisco, CA 94121",CA,415-221-4810  
691,VA Greater Los Angeles Healthcare System (GLA),"11301 Wilshire Boulevard   Los Angeles, CA 90073",CA,310-478-3711  
605,VA Loma Linda Healthcare System,"11201 Benton Street   Loma Linda, CA 92357",CA,909-825-7084 Or 909-825-7084  
600,VA Long Beach Healthcare System,"5901 E. 7th Street   Long Beach, CA 90822",CA,562-826-8000 Or 562-826-8000  
612,VA Northern California Health Care System,"10535 Hospital Way   Mather, CA 95655",CA,800-382-8387 Or 916-843-7000  
640,VA Palo Alto Health Care System,"3801 Miranda Avenue   Palo Alto, CA 94304-1290",CA,650-493-5000  
664,VA San Diego Healthcare System,"3350 La Jolla Village Drive   San Diego, CA 92161",CA,858-552-8585  
575,Grand Junction VA Medical Center,"2121 North Avenue   Grand Junction, CO 81501",CO,970-242-0731 Or 970-242-0731  
554,VA Eastern Colorado Health Care System(ECHCS),"1055 Clermont Street   Denver, CO 80220",CO,303-399-8020  
689,VA Connecticut Healthcare System,"950 Campbell Avenue   West Haven, CT 06516",CT,203-932-5711  
689A4,"VA Connecticut Healthcare System, Newington Campus","555 Willard Avenue   Newington, CT 06111",CT,860-666-6951  
689,"VA Connecticut Healthcare System, West Haven Campus","950 Campbell Avenue   West Haven, CT 06516",CT,203-932-5711  
688,Washington DC VA Medical Center,"50 Irving Street, NW   Washington, DC 20422",DC,202-745-8000  
460,Wilmington VA Medical Center,"1601 Kirkwood Highway   Wilmington, DE 19805",DE,302-994-2511 Or 302-994-2511  
516,Bay Pines VA Healthcare System,"10000 Bay Pines Blvd   Bay Pines, FL 33744 ",FL,727-398-6661 Or 727-398-6661  
,,"Mailing Address: P.O.Box 5005 Bay Pines, FL 33744",FL,
673,James A. Haley Veterans' Hospital,"13000 Bruce B. Downs   Tampa, FL 33612",FL,813-972-2000  
673QJ,James A. Haley Veterans' Hospital Primary Care Annex,"13515 Lake Terrace Lane   Tampa, FL 33637",FL,813-998-8000  
573A4,"Lake City VAMC, NF/SGVHS","619 S. Marion Avenue   Lake City, FL 32025-5808",FL,386-755-3016 Or 800-308-8387  
573,"Malcom Randall VAMC, NF/SGVHS","1601 S.W. Archer Road   Gainesville, FL 32608-1197",FL,352-376-1611 Or 800-324-8387  
546,Miami VA Healthcare System,"1201 N.W. 16th St.   Miami, FL 33125",FL,305-575-7000 Or 305-575-7000  
573,North Florida/South Georgia Veterans Health System,"1601 S.W. Archer Road   Gainesville, FL 32608",FL,352-376-1611  
