,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
0,Alabama,403950,3344721,0.120772405232006,135,535,0.25233644859813104,408917,3473558,0.11772280756503803,145,580,0.25,406762,3489439,0.116569454287638,130,592,0.219594594594595,402072,3521323,0.114182084404072,138,604,0.228476821192053,397405,3558849,0.111666721459663,178,673,0.264487369985141,401114,3634612,0.110359510176052,156,679,0.229749631811487,395753,3662910,0.108043331667991,163,680,0.239705882352941
1,Alaska,74482,446969,0.16663795475748902,24,131,0.18320610687022895,70067,478581,0.146405728601846,29,135,0.21481481481481496,74614,485178,0.153786857606899,30,149,0.201342281879195,67833,486235,0.13950661717070995,27,169,0.159763313609467,70458,500570,0.14075553868589802,34,143,0.237762237762238,71399,507439,0.14070459700574806,35,164,0.213414634146341,72407,517799,0.139836114013353,27,142,0.190140845070423
2,Arizona,538880,4238996,0.127124441731014,225,945,0.23809523809523805,558906,4521911,0.123599513568489,225,979,0.229826353421859,555500,4649090,0.119485748823963,224,1016,0.220472440944882,551053,4768630,0.115557927538937,233,972,0.23971193415637895,532634,4843073,0.109978519836476,228,1060,0.215094339622642,529692,4762678,0.11121726054123303,240,1093,0.219579139981702,533608,4842927,0.11018295340813497,242,1091,0.221814848762603
3,Arkansas,259304,2023819,0.128126082421402,81,400,0.2025,258170,2110583,0.122321652358614,90,376,0.23936170212766,251482,2127954,0.11818018622583,84,402,0.20895522388059695,243494,2145844,0.113472367982015,96,447,0.21476510067114105,244016,2173244,0.112281915882432,89,422,0.210900473933649,247571,2203766,0.112339967128996,105,447,0.23489932885906,238790,2221409,0.107494837735869,89,447,0.19910514541387
4,California,2193336,25543447,0.085866876150271,633,3206,0.197442295695571,2142367,26789221,0.07997123171293401,665,3334,0.199460107978404,2079606,27033547,0.076926864240198,655,3602,0.181843420322043,2034700,27233110,0.07471419900261099,727,3775,0.192582781456954,1963556,27365341,0.07175339053878399,723,3823,0.189118493329846,1947570,27908574,0.069783930916714,705,3913,0.180168668540762,1910994,28292703,0.067543705527181,706,3923,0.179964313025746
5,Colorado,402091,3371999,0.119244104164918,191,800,0.23875,416250,3558782,0.11696417482161,148,730,0.20273972602739695,414228,3643412,0.113692330156458,196,811,0.241676942046856,415094,3705758,0.11201325073035,188,803,0.23412204234122,395350,3762991,0.105062701452116,211,941,0.22422954303932,391203,3789844,0.103224037717647,156,865,0.180346820809249,411754,3857537,0.106740129777109,170,879,0.19340159271899895
6,Connecticut,261294,2559377,0.102092813993405,52,295,0.17627118644067802,260131,2680115,0.09705964109749,44,292,0.150684931506849,245359,2674817,0.091729265964737,39,271,0.14391143911439094,237074,2684092,0.08832558645530801,46,315,0.146031746031746,222632,2703644,0.082345160827387,31,316,0.098101265822785,225379,2753985,0.08183741015292402,52,353,0.14730878186968802,225987,2768440,0.08162972648856401,54,364,0.148351648351648
7,Delaware,79151,620779,0.12750270224991495,17,83,0.204819277108434,79438,647164,0.12274786607413303,16,91,0.175824175824176,78075,657092,0.118818978164397,15,95,0.157894736842105,75987,661193,0.114924084193269,23,109,0.211009174311927,77232,673811,0.114619678218373,17,107,0.15887850467289702,73311,690836,0.10611925261567097,14,106,0.132075471698113,77885,699180,0.111394776738465,17,116,0.146551724137931
8,Florida*,1717801,13289030,0.12926458891281,540,2347,0.230080954409885,1747213,14016217,0.124656531787429,562,2440,0.23032786885245896,1709427,14155099,0.12076404410877,595,2587,0.229996134518748,1655847,14266412,0.116066113890444,631,2740,0.23029197080292,1591864,14412206,0.110452487287512,658,2858,0.230230930720784,1616185,14789132,0.109281937574159,642,2789,0.23019003226963106,1571482,15012091,0.10468108673202198,642,2789,0.23019003226963106
9,Georgia,731466,6437595,0.11362410962478997,182,924,0.196969696969697,732779,6850347,0.106969617743452,97,923,0.105092091007584,710726,6972297,0.101935703542176,211,997,0.211634904714142,709363,7082157,0.10016199866792,192,981,0.19571865443425104,693809,7166761,0.096809283859194,244,1134,0.215167548500882,696844,7170107,0.09718739204310302,175,1133,0.154457193292145,686591,7279776,0.094314852544914,218,1133,0.192409532215357
10,Hawaii,116793,917646,0.127274569932196,15,107,0.14018691588785,117468,950715,0.123557533014626,21,120,0.175,124261,960064,0.1294299130058,21,133,0.157894736842105,106372,959788,0.110828641324959,20,133,0.150375939849624,106310,958760,0.110882806958989,25,175,0.14285714285714302,117301,1025770,0.114354094972557,31,207,0.14975845410628,109218,1034113,0.10561515037524903,27,207,0.130434782608696
11,Idaho,132844,1019061,0.130359222853195,65,228,0.285087719298246,133128,1066418,0.124836602532966,53,222,0.23873873873873894,131795,1088296,0.121102163382021,48,223,0.2152466367713,135394,1105360,0.12248860099877,75,252,0.297619047619048,122552,1121706,0.109255009779746,66,304,0.217105263157895,125328,1139751,0.109960859872025,70,290,0.241379310344828,121382,1155068,0.105086453784539,68,290,0.23448275862069
12,Illinois,853338,9197524,0.092779100114335,219,1086,0.201657458563536,845481,9597260,0.08809608158995401,186,1010,0.184158415841584,803229,9636981,0.083348613014802,183,1108,0.165162454873646,782182,9701259,0.08062685472060901,229,1198,0.191151919866444,772410,9716887,0.079491507928414,199,1177,0.16907391673746802,751492,9708301,0.077407159089938,200,1178,0.16977928692699498,719528,9752324,0.073780157427091,191,1183,0.1614539306847
13,Indiana,505259,4496185,0.11237504684527,112,745,0.150335570469799,513266,4728420,0.108549155954843,108,824,0.131067961165049,491684,4754575,0.103412818180384,101,790,0.12784810126582302,486149,4787570,0.101543998312296,184,809,0.22744128553770104,471717,4830620,0.09765144018780196,150,828,0.18115942028985504,469627,4880691,0.096221416188814,165,864,0.190972222222222,458943,4915722,0.093362277199565,164,861,0.19047619047619
14,Iowa,249911,2192545,0.113982153159912,70,333,0.21021021021021,253158,2265619,0.111738999363971,63,334,0.188622754491018,250852,2274820,0.110273340308244,63,322,0.195652173913044,245912,2290057,0.10738247999940598,74,380,0.19473684210526296,234659,2296177,0.102195518899458,71,361,0.196675900277008,233244,2323493,0.10038506679383198,71,372,0.19086021505376305,226737,2336891,0.09702506449808697,83,370,0.224324324324324
15,Kansas,238506,1981969,0.120337906395105,86,362,0.23756906077348106,234507,2053186,0.114216149925043,94,379,0.24802110817942,231387,2067370,0.111923361565661,88,382,0.230366492146597,231810,2084264,0.111219116196413,74,337,0.219584569732938,218993,2099260,0.104319141030649,93,382,0.243455497382199,215780,2118586,0.10185095153088,81,401,0.201995012468828,210240,2132796,0.098574828534937,72,400,0.18
16,Kentucky,341752,3073085,0.11120811822647303,44,566,0.07773851590106,340830,3192332,0.106765211137187,34,622,0.054662379421222,335093,3220471,0.104050929196382,44,649,0.067796610169492,329768,3242747,0.101694026700202,51,612,0.083333333333333,319199,3275369,0.09745436315725,104,592,0.175675675675676,317278,3295944,0.096263164665419,104,631,0.16481774960380402,311073,3330313,0.09340653566196302,124,641,0.19344773790951605
17,Louisiana,337822,3234969,0.104428203175981,101,505,0.2,324880,3183547,0.102049694884354,81,492,0.164634146341463,315184,3199922,0.098497400874146,91,522,0.174329501915709,304756,3287010,0.092715264024144,97,532,0.18233082706766893,315813,3351308,0.09423574317848403,92,490,0.187755102040816,312187,3410467,0.091537903753357,125,557,0.22441651705565505,312953,3442258,0.090915033097461,106,564,0.18794326241134804
18,Maine,145352,1003350,0.14486669656650195,49,175,0.28,142205,1035232,0.137365344193379,43,158,0.272151898734177,142506,1034884,0.13770238983306302,39,191,0.20418848167539305,136533,1038090,0.131523278328469,44,181,0.243093922651934,132238,1043178,0.12676455983542598,45,197,0.22842639593908606,128123,1051795,0.121813661407404,46,186,0.247311827956989,128940,1056250,0.122073372781065,30,198,0.15151515151515196
19,Maryland,480654,4038360,0.119022078269396,105,472,0.222457627118644,475371,4230839,0.112358565286932,91,495,0.183838383838384,461184,4232439,0.108964122105481,76,518,0.146718146718147,445742,4265690,0.104494700740091,92,507,0.18145956607495106,438707,4313424,0.101707367511286,97,551,0.176043557168784,429774,4404995,0.097565150471226,85,502,0.169322709163347,425963,4457846,0.095553547610214,90,504,0.178571428571429
20,Massachusetts,453249,4725900,0.095907446200724,51,480,0.10625,453873,4983228,0.091080119151682,30,450,0.066666666666667,437588,5011861,0.087310482074423,50,516,0.096899224806202,422508,5062590,0.08345688669238499,48,509,0.094302554027505,414595,5153924,0.080442590926836,48,530,0.090566037735849,398252,5135613,0.077547120470331,75,598,0.125418060200669,386609,5177318,0.074673605136868,59,597,0.098827470686767
21,Michigan,782823,7347736,0.106539347630345,232,1108,0.209386281588448,765929,7613279,0.100604351948746,258,1139,0.226514486391572,749774,7616804,0.098436824683949,230,1131,0.203359858532272,720840,7603028,0.094809594282699,224,1180,0.18983050847457605,706848,7614974,0.092823429206718,232,1169,0.198460222412318,692922,7538643,0.09191601194008,212,1263,0.167854315122724,671051,7579088,0.088539808483554,217,1274,0.17032967032967
22,Minnesota,407255,3759713,0.10832076810118198,103,547,0.188299817184644,410003,3905954,0.104968722109887,113,554,0.203971119133574,405354,3935350,0.103003290685708,125,572,0.218531468531469,391485,3966540,0.09869684914308198,110,596,0.184563758389262,381202,4004268,0.095198922749426,106,584,0.181506849315068,377976,4024747,0.093912983847183,91,606,0.15016501650164998,366790,4065374,0.090222941357917,112,625,0.1792
