,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_pop_2006,overall_pop_18_2006,vet_pop_p_2006,vet_suicides_2006,all_suicides_2006,vet_suicides_p_2006,vet_pop_2007,overall_pop_18_2007,vet_pop_p_2007,vet_suicides_2007,all_suicides_2007,vet_suicides_p_2007,vet_pop_2008,overall_pop_18_2008,vet_pop_p_2008,vet_suicides_2008,all_suicides_2008,vet_suicides_p_2008,vet_pop_2009,overall_pop_18_2009,vet_pop_p_2009,vet_suicides_2009,all_suicides_2009,vet_suicides_p_2009,vet_pop_2010,overall_pop_18_2010,vet_pop_p_2010,vet_suicides_2010,all_suicides_2010,vet_suicides_p_2010,vet_pop_2011,overall_pop_18_2011,vet_pop_p_2011,vet_suicides_2011,all_suicides_2011,vet_suicides_p_2011
0,Alabama,403950,3344721,0.120772405,135,535,0.25233644899999996,408917,3473558,0.11772280800000001,145,580,0.25,406762,3489439,0.116569454,130,592,0.219594595,402072,3521323,0.114182084,138,604,0.22847682100000002,397405,3558849,0.111666721,178,673,0.26448737,401114,3634612,0.11035951,156,679,0.22974963199999998,395753,3662910,0.10804333199999999,163,680,0.23970588199999998
1,Alaska,74482,446969,0.166637955,24,131,0.18320610699999998,70067,478581,0.146405729,29,135,0.214814815,74614,485178,0.153786858,30,149,0.20134228199999998,67833,486235,0.139506617,27,169,0.15976331400000002,70458,500570,0.140755539,34,143,0.23776223800000001,71399,507439,0.140704597,35,164,0.213414634,72407,517799,0.139836114,27,142,0.190140845
2,Arizona,538880,4238996,0.127124442,225,945,0.23809523800000001,558906,4521911,0.12359951400000001,225,979,0.229826353,555500,4649090,0.119485749,224,1016,0.22047244100000002,551053,4768630,0.115557928,233,972,0.239711934,532634,4843073,0.10997852,228,1060,0.21509434,529692,4762678,0.111217261,240,1093,0.21957914,533608,4842927,0.11018295300000001,242,1091,0.22181484899999998
3,Arkansas,259304,2023819,0.128126082,81,400,0.2025,258170,2110583,0.12232165199999999,90,376,0.23936170199999998,251482,2127954,0.11818018599999999,84,402,0.208955224,243494,2145844,0.113472368,96,447,0.214765101,244016,2173244,0.112281916,89,422,0.21090047399999998,247571,2203766,0.112339967,105,447,0.234899329,238790,2221409,0.10749483800000001,89,447,0.199105145
4,California,2193336,25543447,0.085866876,633,3206,0.19744229600000002,2142367,26789221,0.079971232,665,3334,0.199460108,2079606,27033547,0.076926864,655,3602,0.18184342,2034700,27233110,0.07471419900000001,727,3775,0.192582781,1963556,27365341,0.071753391,723,3823,0.189118493,1947570,27908574,0.069783931,705,3913,0.18016866899999998,1910994,28292703,0.067543706,706,3923,0.17996431300000001
5,Colorado,402091,3371999,0.119244104,191,800,0.23875,416250,3558782,0.116964175,148,730,0.202739726,414228,3643412,0.11369233,196,811,0.241676942,415094,3705758,0.112013251,188,803,0.234122042,395350,3762991,0.105062701,211,941,0.224229543,391203,3789844,0.103224038,156,865,0.18034682100000002,411754,3857537,0.10674013,170,879,0.193401593
6,Connecticut,261294,2559377,0.102092814,52,295,0.17627118600000002,260131,2680115,0.097059641,44,292,0.150684932,245359,2674817,0.09172926599999999,39,271,0.143911439,237074,2684092,0.088325586,46,315,0.146031746,222632,2703644,0.082345161,31,316,0.09810126599999999,225379,2753985,0.08183741,52,353,0.147308782,225987,2768440,0.081629726,54,364,0.148351648
7,Delaware,79151,620779,0.127502702,17,83,0.204819277,79438,647164,0.122747866,16,91,0.17582417600000003,78075,657092,0.118818978,15,95,0.15789473699999998,75987,661193,0.11492408400000001,23,109,0.211009174,77232,673811,0.114619678,17,107,0.158878505,73311,690836,0.10611925300000001,14,106,0.132075472,77885,699180,0.11139477699999999,17,116,0.146551724
8,Florida*,1717801,13289030,0.129264589,540,2347,0.23008095399999998,1747213,14016217,0.12465653199999999,562,2440,0.230327869,1709427,14155099,0.120764044,595,2587,0.229996135,1655847,14266412,0.116066114,631,2740,0.230291971,1591864,14412206,0.11045248699999999,658,2858,0.23023093100000003,1616185,14789132,0.10928193800000001,642,2789,0.230190032,1571482,15012091,0.10468108699999999,642,2789,0.230190032
9,Georgia,731466,6437595,0.11362411,182,924,0.196969697,732779,6850347,0.106969618,97,923,0.105092091,710726,6972297,0.101935704,211,997,0.211634905,709363,7082157,0.100161999,192,981,0.195718654,693809,7166761,0.09680928400000001,244,1134,0.21516754899999999,696844,7170107,0.097187392,175,1133,0.15445719300000002,686591,7279776,0.094314853,218,1133,0.192409532
10,Hawaii,116793,917646,0.12727457,15,107,0.140186916,117468,950715,0.12355753300000001,21,120,0.175,124261,960064,0.129429913,21,133,0.15789473699999998,106372,959788,0.11082864099999999,20,133,0.15037594,106310,958760,0.11088280699999999,25,175,0.14285714300000002,117301,1025770,0.114354095,31,207,0.149758454,109218,1034113,0.10561515,27,207,0.130434783
11,Idaho,132844,1019061,0.130359223,65,228,0.28508771899999996,133128,1066418,0.124836603,53,222,0.23873873899999998,131795,1088296,0.12110216300000001,48,223,0.215246637,135394,1105360,0.122488601,75,252,0.297619048,122552,1121706,0.10925501,66,304,0.21710526300000002,125328,1139751,0.10996086,70,290,0.24137931,121382,1155068,0.10508645400000001,68,290,0.23448275899999999
12,Illinois,853338,9197524,0.0927791,219,1086,0.20165745899999998,845481,9597260,0.08809608199999999,186,1010,0.18415841600000002,803229,9636981,0.083348613,183,1108,0.165162455,782182,9701259,0.080626855,229,1198,0.19115192,772410,9716887,0.079491508,199,1177,0.169073917,751492,9708301,0.077407159,200,1178,0.169779287,719528,9752324,0.073780157,191,1183,0.161453931
13,Indiana,505259,4496185,0.11237504699999999,112,745,0.15033557,513266,4728420,0.108549156,108,824,0.13106796099999998,491684,4754575,0.103412818,101,790,0.127848101,486149,4787570,0.10154399800000001,184,809,0.22744128600000002,471717,4830620,0.09765144,150,828,0.18115942,469627,4880691,0.09622141599999999,165,864,0.190972222,458943,4915722,0.093362277,164,861,0.19047619
14,Iowa,249911,2192545,0.113982153,70,333,0.21021021,253158,2265619,0.111738999,63,334,0.18862275399999998,250852,2274820,0.11027334,63,322,0.19565217399999998,245912,2290057,0.10738248,74,380,0.194736842,234659,2296177,0.102195519,71,361,0.19667590000000001,233244,2323493,0.100385067,71,372,0.190860215,226737,2336891,0.09702506400000001,83,370,0.224324324
15,Kansas,238506,1981969,0.120337906,86,362,0.23756906100000003,234507,2053186,0.11421615,94,379,0.24802110800000002,231387,2067370,0.111923362,88,382,0.230366492,231810,2084264,0.11121911599999999,74,337,0.21958457,218993,2099260,0.10431914099999999,93,382,0.243455497,215780,2118586,0.101850952,81,401,0.201995012,210240,2132796,0.098574829,72,400,0.18
16,Kentucky,341752,3073085,0.11120811800000001,44,566,0.077738516,340830,3192332,0.106765211,34,622,0.054662379000000004,335093,3220471,0.104050929,44,649,0.06779661,329768,3242747,0.10169402699999999,51,612,0.083333333,319199,3275369,0.097454363,104,592,0.175675676,317278,3295944,0.096263165,104,631,0.16481775,311073,3330313,0.093406536,124,641,0.193447738
17,Louisiana,337822,3234969,0.10442820300000001,101,505,0.2,324880,3183547,0.102049695,81,492,0.164634146,315184,3199922,0.098497401,91,522,0.174329502,304756,3287010,0.092715264,97,532,0.182330827,315813,3351308,0.09423574300000001,92,490,0.18775510199999998,312187,3410467,0.091537904,125,557,0.22441651699999998,312953,3442258,0.090915033,106,564,0.187943262
18,Maine,145352,1003350,0.144866697,49,175,0.28,142205,1035232,0.137365344,43,158,0.272151899,142506,1034884,0.13770239,39,191,0.204188482,136533,1038090,0.13152327800000002,44,181,0.24309392300000002,132238,1043178,0.12676456,45,197,0.228426396,128123,1051795,0.12181366099999999,46,186,0.247311828,128940,1056250,0.12207337300000001,30,198,0.151515152
19,Maryland,480654,4038360,0.119022078,105,472,0.222457627,475371,4230839,0.112358565,91,495,0.183838384,461184,4232439,0.108964122,76,518,0.146718147,445742,4265690,0.104494701,92,507,0.18145956600000002,438707,4313424,0.101707368,97,551,0.176043557,429774,4404995,0.09756515,85,502,0.169322709,425963,4457846,0.095553548,90,504,0.17857142899999998
20,Massachusetts,453249,4725900,0.095907446,51,480,0.10625,453873,4983228,0.091080119,30,450,0.066666667,437588,5011861,0.087310482,50,516,0.096899225,422508,5062590,0.08345688700000001,48,509,0.09430255400000001,414595,5153924,0.080442591,48,530,0.090566038,398252,5135613,0.07754712,75,598,0.12541806,386609,5177318,0.074673605,59,597,0.098827471
21,Michigan,782823,7347736,0.106539348,232,1108,0.20938628199999998,765929,7613279,0.100604352,258,1139,0.22651448600000001,749774,7616804,0.098436825,230,1131,0.20335985899999998,720840,7603028,0.094809594,224,1180,0.189830508,706848,7614974,0.092823429,232,1169,0.198460222,692922,7538643,0.09191601199999999,212,1263,0.167854315,671051,7579088,0.08853980800000001,217,1274,0.17032967
